id,user,quiz,question_order,question_list,incorrect_questions,current_score,complete,user_answers,start,end
60,28,1,"23,18,15,21,27,29,",,"21,,27,,29,",3,1,"{""23"": ""54"", ""18"": ""36"", ""15"": ""24"", ""21"": ""47"", ""27"": ""72"", ""29"": ""80""}",2018-08-10 15:45:50,2018-08-10 15:46:45
61,28,4,"28,16,24,30,19,17,",,"16,,30,,19,,17,",2,1,"{""28"": ""76"", ""16"": ""29"", ""24"": ""59"", ""30"": ""83"", ""19"": ""39"", ""17"": ""31""}",2018-08-10 15:54:35,2018-08-10 15:55:34
62,28,40,"26,25,53,54,20,22,52,",,"25,",6,1,"{""26"": ""68"", ""25"": ""65"", ""53"": ""178"", ""54"": ""182"", ""20"": ""42"", ""22"": ""53"", ""52"": ""173""}",2018-08-10 16:42:50,2018-08-10 16:44:55
