id,user,quiz,question_order,question_list,incorrect_questions,current_score,complete,user_answers,start,end
26,14,1,"2,4,5,1,3,6,",,"4,,5,,6,",3,1,"{""2"": ""4"", ""4"": ""a board"", ""5"": ""discreet nature"", ""1"": ""3"", ""3"": ""8"", ""6"": ""True""}",2018-07-26 07:54:45,2018-07-26 07:55:34
22,14,1,"1,4,6,3,2,5,",,"4,,5,",4,1,"{""1"": ""3"", ""4"": ""an electrical board"", ""6"": ""False"", ""3"": ""8"", ""2"": ""4"", ""5"": ""due to their discreet nature""}",2018-07-25 06:30:13,2018-07-25 12:43:58
25,14,2,"10,9,","10,9,",,0,0,{},2018-07-25 15:41:06,
21,14,2,"10,9,",,,2,1,"{""10"": ""20"", ""9"": ""17""}",2018-07-25 05:51:10,2018-07-25 05:51:18
