id,user,quiz,question_order,question_list,incorrect_questions,current_score,complete,user_answers,start,end
35,20,1,"2,1,6,3,",,"3,",3,1,"{""2"": ""4"", ""1"": ""3"", ""6"": ""False"", ""3"": ""7""}",2018-07-28 18:34:00,2018-07-28 18:34:23
37,20,2,"14,12,10,11,13,",,"11,,13,",3,1,"{""14"": ""True"", ""12"": ""False"", ""10"": ""20"", ""11"": ""False"", ""13"": ""True""}",2018-07-28 18:55:11,2018-07-28 18:56:14
36,20,4,"9,10,3,",,"10,",2,1,"{""9"": ""16"", ""10"": ""21"", ""3"": ""8""}",2018-07-28 18:36:45,2018-07-28 18:37:03
38,20,5,"12,11,",,,2,1,"{""12"": ""False"", ""11"": ""True""}",2018-07-28 18:58:36,2018-07-28 18:58:48
