id,user,quiz,question_order,question_list,incorrect_questions,current_score,complete,user_answers,start,end
71,31,1,"18,27,15,21,23,29,",,"29,",5,1,"{""18"": ""36"", ""27"": ""71"", ""15"": ""24"", ""21"": ""48"", ""23"": ""54"", ""29"": ""80""}",2018-08-13 20:14:34,2018-08-13 20:15:18
72,31,4,"30,17,19,16,24,28,",,"30,",5,1,"{""30"": ""83"", ""17"": ""30"", ""19"": ""38"", ""16"": ""27"", ""24"": ""59"", ""28"": ""76""}",2018-08-13 20:16:44,2018-08-13 20:17:44
73,31,48,"25,20,26,",,"25,",2,1,"{""25"": ""65"", ""20"": ""42"", ""26"": ""68""}",2018-08-13 20:18:32,2018-08-13 20:19:12
