id,user,quiz,question_order,question_list,incorrect_questions,current_score,complete,user_answers,start,end
10,10,2,"7,",,,1,1,"{""7"": ""11""}",2018-07-23 22:01:25,2018-07-23 22:01:29
11,10,1,"2,6,4,3,5,1,",,"6,,4,,5,",3,1,"{""2"": ""4"", ""6"": ""True"", ""4"": ""an assembly of transistors and capacitors"", ""3"": ""8"", ""5"": ""because it is discreet in nature"", ""1"": ""3""}",2018-07-23 22:02:28,2018-07-23 22:03:33
