id,user,quiz,question_order,question_list,incorrect_questions,current_score,complete,user_answers,start,end
50,26,1,"1,3,6,2,",,"6,,2,",2,1,"{""1"": ""3"", ""3"": ""8"", ""6"": ""True"", ""2"": ""5""}",2018-07-31 23:11:23,2018-07-31 23:11:46
52,26,2,"11,10,12,13,14,",,"12,",4,1,"{""11"": ""True"", ""10"": ""20"", ""12"": ""True"", ""13"": ""False"", ""14"": ""True""}",2018-08-01 17:32:13,2018-08-01 17:32:49
51,26,4,"9,10,3,",,"9,,3,",1,1,"{""9"": ""17"", ""10"": ""20"", ""3"": ""9""}",2018-08-01 14:05:00,2018-08-01 14:05:15
